"","loan_status","loan_amnt","grade","home_ownership","annual_inc","age","ir_cat","emp_cat"
"21655","0",25000,"B","RENT",91000,34,"11-13.5","0-15"
"25468","0",16000,"D","RENT",45000,25,"13.5+","0-15"
"18407","0",8500,"A","MORTGAGE",110000,29,"0-8","0-15"
"14234","0",9800,"B","MORTGAGE",102000,24,"8-11","0-15"
"7588","0",3600,"A","MORTGAGE",40000,59,"0-8","0-15"
"7026","0",6600,"A","OWN",26400,35,"0-8","15-30"
"2180","0",3000,"A","RENT",10000,24,"0-8","0-15"
"14930","0",7500,"B","OWN",27168,24,"8-11","0-15"
"17083","0",6000,"A","RENT",74970,26,"0-8","0-15"
"15573","0",22750,"A","MORTGAGE",32004,25,"0-8","0-15"
"9917","0",2400,"A","MORTGAGE",57200,25,"0-8","0-15"
"7961","0",7000,"A","OWN",42000,22,"Missing","0-15"
"10317","0",6800,"A","MORTGAGE",130000,23,"8-11","0-15"
"17176","0",8400,"C","RENT",50000,26,"13.5+","0-15"
"491","0",10000,"B","MORTGAGE",60000,23,"11-13.5","0-15"
"1838","0",12000,"B","RENT",110000,33,"8-11","0-15"
"15232","0",10000,"A","MORTGAGE",110000,21,"0-8","0-15"
"21721","0",3350,"A","OWN",53000,24,"0-8","0-15"
"762","0",19000,"A","MORTGAGE",95000,23,"0-8","30-45"
"8486","0",5000,"A","RENT",60000,23,"0-8","0-15"
"3708","0",12000,"A","MORTGAGE",75000,23,"0-8","0-15"
"15190","0",6000,"B","OWN",36000,23,"8-11","0-15"
"6532","0",10000,"B","MORTGAGE",63000,23,"8-11","0-15"
"11173","0",13000,"A","MORTGAGE",54000,25,"0-8","0-15"
"461","0",12000,"D","MORTGAGE",93000,25,"13.5+","0-15"
"24139","0",1200,"C","RENT",22884,32,"11-13.5","0-15"
"26537","1",15000,"E","RENT",62000,21,"13.5+","0-15"
"24259","0",25000,"D","MORTGAGE",97000,33,"13.5+","0-15"
"11444","0",7000,"B","MORTGAGE",60000,31,"Missing","0-15"
"27813","0",6000,"A","MORTGAGE",53000,29,"0-8","0-15"
"15559","0",10000,"D","OWN",58000,22,"13.5+","0-15"
"20521","0",20000,"C","RENT",87000,22,"13.5+","0-15"
"781","0",15000,"D","OWN",57000,38,"13.5+","Missing"
"26935","0",10000,"A","RENT",70000,23,"8-11","0-15"
"20797","0",3300,"B","MORTGAGE",45000,22,"8-11","0-15"
"27048","0",13000,"A","MORTGAGE",45000,29,"8-11","15-30"
"26778","0",3650,"A","RENT",110000,31,"8-11","0-15"
"19661","0",20000,"C","RENT",132000,27,"11-13.5","0-15"
"8423","0",1800,"A","RENT",9600,30,"0-8","Missing"
"455","0",10800,"C","MORTGAGE",110000,42,"13.5+","0-15"
"9458","0",5000,"C","OWN",68400,27,"11-13.5","0-15"
"25573","0",6000,"C","MORTGAGE",62100,24,"11-13.5","15-30"
"9321","0",9100,"B","RENT",57500,22,"11-13.5","0-15"
"12644","0",5000,"C","MORTGAGE",120000,28,"11-13.5","0-15"
"21204","0",18000,"B","RENT",69790,27,"8-11","0-15"
"7066","0",2000,"D","RENT",48000,24,"13.5+","0-15"
"8837","0",3600,"A","OWN",40000,28,"0-8","0-15"
"3499","0",10000,"B","RENT",64125,28,"8-11","0-15"
"22315","0",15000,"C","MORTGAGE",76500,22,"Missing","0-15"
"4171","0",7800,"A","MORTGAGE",50000,22,"0-8","0-15"
"19503","1",6600,"D","RENT",30000,29,"13.5+","0-15"
"10474","0",11000,"A","OWN",45000,24,"0-8","0-15"
"10450","0",5000,"B","RENT",75000,22,"8-11","0-15"
"24693","0",4000,"C","RENT",50000,35,"11-13.5","0-15"
"23812","0",7000,"B","OWN",96000,21,"11-13.5","0-15"
"12128","0",10000,"B","MORTGAGE",66000,23,"8-11","0-15"
"24665","0",7550,"C","RENT",40000,35,"13.5+","0-15"
"5762","0",7500,"B","MORTGAGE",85000,29,"11-13.5","0-15"
"7430","0",5500,"D","RENT",34000,26,"13.5+","0-15"
"18096","0",9600,"A","RENT",80000,26,"Missing","0-15"
"14666","0",15000,"B","MORTGAGE",140000,28,"8-11","0-15"
"4362","0",10000,"A","RENT",56000,24,"0-8","0-15"
"26995","0",18000,"C","OTHER",72204,22,"11-13.5","15-30"
"20529","0",24250,"E","OWN",80000,26,"Missing","0-15"
